Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"China, People's Republic of",8.5,8.4,9.1,10,10.2,11.4,12.7,14.3,9.7,9.4,10.6,9.5,7.9,7.8,7.3,6.9,6.8,6.9,6.7,6.1,1.9
Colombia,2.9,1.7,2.5,3.9,5.3,4.7,6.7,6.7,3.3,1.1,4.5,6.9,3.9,5.1,4.5,3,2.1,1.4,2.5,3.3,-8.2
Comoros,-1,5.4,4.6,2,3.1,5.7,-1.8,0.8,4,3.2,3.8,4.1,3.2,4.5,2.1,1.3,3.5,4.2,3.6,1.9,-1.8
"Congo, Dem. Rep. of the",-8.1,-2.1,2.9,5.6,6.7,6.1,5.3,6.3,6.2,2.9,7.1,6.9,7.1,8.5,9.5,6.9,2.4,3.7,5.8,4.4,-2.2
"Congo, Republic of ",11.8,-4.8,1,0.5,-0.2,9.2,8,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.7,-4.4,-6.4,-0.6,-7
Costa Rica,3.8,3.5,3.3,4.3,4.3,3.9,7.2,8.2,4.6,-1,5,4.3,4.8,2.3,3.5,3.6,4.2,3.9,2.7,2.1,-5.5
Croatia,3.7,3.3,5.1,5.6,4.2,4.3,5,5.3,1.8,-7.4,-1.5,-0.3,-2.2,-0.5,-0.1,2.4,3.5,3.1,2.7,2.9,-9
Cyprus,6,4,3.7,2.6,5,4.9,4.7,5.1,3.6,-2,2,0.4,-3.4,-6.6,-1.9,3.4,6.7,4.4,4.1,3.2,-6.4
Czech Republic,4,3,1.6,3.6,4.8,6.6,6.8,5.6,2.7,-4.7,2.4,1.8,-0.8,0,2.3,5.4,2.5,5.2,3.2,2.3,-6.5
Côte d'Ivoire,-2.1,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2,-4.9,10.9,9.3,8.8,8.8,7.2,7.4,6.8,6.5,1.8
Denmark,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,2.3,3.2,2,2.4,2.3,-4.5
Djibouti,0.7,1.8,3.2,3.2,2.8,3.1,4.8,5,5.8,1.6,4.1,7.3,4.8,5,7.1,7.7,6.7,5.4,8.4,7.5,-1
Dominica,2.3,-0.1,-2.8,6.4,3.1,0.7,4.7,6.4,7.1,-1.2,0.7,-0.2,-1.1,-0.6,4.4,-2.6,2.5,-9.5,0.5,8.4,-8.8
Dominican Republic,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,8.3,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7,5.1,-6
Ecuador,1.1,4,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.9,5.6,4.9,3.8,0.1,-1.2,2.4,1.3,0.1,-11
Egypt,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,3.3,2.9,4.4,4.3,4.1,5.3,5.6,3.5
El Salvador,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,2.2,1.7,2.4,2.5,2.3,2.4,2.4,-9
Equatorial Guinea,110.5,60,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-5.8,-6.1,-6
Eritrea,-12.4,8.8,3,-2.7,1.5,2.6,-1,1.4,-19.4,12.2,10.9,25.7,1.9,-10.5,30.9,-20.6,7.4,-10,13,3.8,-0.6
Estonia,10.1,6,6.8,7.6,6.8,9.5,9.7,7.6,-5.1,-14.4,2.7,7.4,3.1,1.3,3,1.8,3.2,5.5,4.4,5,-5.2
Eswatini,1.8,1.1,4.4,3.9,3.6,6,6,4.4,0.8,1.6,3.8,2.2,5.4,3.9,0.9,2.3,1.3,2,2.4,1.1,-3.5
Ethiopia,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.2,7.7,9,1.9
Fiji,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1,-1.4,3,2.7,1.4,4.7,5.6,4.7,2.5,5.4,3.5,-1.3,-21
Finland,5.8,2.6,1.7,2,4,2.8,4,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.3,1.5,1.1,-4
France,3.9,2,1.1,0.8,2.8,1.7,2.4,2.4,0.3,-2.9,1.9,2.2,0.3,0.6,1,1.1,1.1,2.3,1.8,1.5,-9.8
Gabon,-1.9,2.1,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,1,3.8,-2.7
"Gambia, The",5.5,5.8,-3.2,6.9,7,-2.4,-0.6,3,6.3,6.7,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.1,-1.8
Georgia,1.8,4.8,5.5,11.1,5.8,9.6,9.4,12.6,2.4,-3.7,6.2,7.4,6.4,3.6,4.4,3,2.9,4.8,4.8,5.1,-5
Germany,2.9,1.7,-0.2,-0.7,1.2,0.7,3.8,3,1,-5.7,4.2,3.9,0.4,0.4,2.2,1.5,2.2,2.6,1.3,0.6,-6
Ghana,3.6,3.8,4.6,5.1,5.4,6.2,5.8,4.1,9,5.5,7.8,14.2,8.5,7.2,2.9,2.2,3.4,8.1,6.3,6.5,0.9
Greece,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-9.1,-7.3,-3.2,0.7,-0.4,-0.2,1.5,1.9,1.9,-9.5
