Time,Persons(%),Males(%),Females(%)
Jan-19,8.1,6.2,10.3
Feb-19,8.1,6.2,10.2
Mar-19,8.3,6.5,10.3
Apr-19,8.5,6.9,10.3
May-19,8.5,6.8,10.5
Jun-19,8.2,6.6,10
Jul-19,8.4,6.7,10.4
Aug-19,8.5,6.9,10.3
Sep-19,8.3,6.8,10.1
Oct-19,8.5,6.7,10.5
Nov-19,8.3,6.7,10.2
Dec-19,8.2,6.6,10.1
Jan-20,8.6,6.7,10.7
Feb-20,8.6,6.6,10.9
Mar-20,8.8,7.2,10.6
Apr-20,13.8,12.6,15
May-20,13.1,12.2,14.1
Jun-20,11.7,10.9,12.6
Jul-20,11.2,10.3,12.2
Aug-20,11.3,10.5,12.1
Sep-20,11.4,10.7,12.1
